seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  45  | processed:  45
seen:  0  | processed:  0
seen:  35  | processed:  35
seen:  35  | processed:  35
seen:  169  | processed:  169
seen:  10  | processed:  10
seen:  170  | processed:  170
seen:  87  | processed:  87
seen:  49  | processed:  49
seen:  115  | processed:  115
seen:  18  | processed:  47
seen:  62  | processed:  62
seen:  58  | processed:  93
seen:  88  | processed:  88
seen:  149  | processed:  149
seen:  352  | processed:  352
seen:  368  | processed:  368
seen:  147  | processed:  147
seen:  352  | processed:  352
seen:  339  | processed:  339
seen:  328  | processed:  328
seen:  316  | processed:  316
seen:  330  | processed:  330
seen:  8  | processed:  8
seen:  42  | processed:  42
seen:  388  | processed:  388
seen:  139  | processed:  283
seen:  54  | processed:  124
seen:  137  | processed:  282
seen:  9  | processed:  9
seen:  0  | processed:  12
seen:  0  | processed:  1
seen:  1  | processed:  2
seen:  1  | processed:  16
seen:  0  | processed:  15
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  1  | processed:  1
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  134  | processed:  134
seen:  126  | processed:  126
seen:  161  | processed:  246
seen:  6  | processed:  51
seen:  232  | processed:  242
seen:  35  | processed:  35
seen:  25  | processed:  25
seen:  24  | processed:  24
seen:  0  | processed:  0
seen:  3  | processed:  9
seen:  33  | processed:  33
seen:  50  | processed:  50
seen:  193  | processed:  193
seen:  22  | processed:  47
seen:  69  | processed:  69
seen:  84  | processed:  91
seen:  26  | processed:  73
seen:  0  | processed:  0
seen:  20  | processed:  109
seen:  5  | processed:  10
seen:  22  | processed:  22
seen:  53  | processed:  77
seen:  58  | processed:  80
seen:  169  | processed:  184
seen:  169  | processed:  233
seen:  133  | processed:  133
seen:  133  | processed:  133
seen:  149  | processed:  149
seen:  149  | processed:  149
seen:  247  | processed:  261
seen:  2  | processed:  35
seen:  341  | processed:  351
seen:  36  | processed:  134
seen:  357  | processed:  372
seen:  66  | processed:  97
seen:  204  | processed:  271
seen:  67  | processed:  93
seen:  178  | processed:  215
seen:  77  | processed:  180
seen:  34  | processed:  58
seen:  317  | processed:  336
seen:  0  | processed:  0
