seen:  2  | processed:  13
seen:  0  | processed:  0
seen:  12  | processed:  76
seen:  7  | processed:  170
seen:  25  | processed:  103
seen:  2  | processed:  237
seen:  4  | processed:  58
seen:  37  | processed:  153
seen:  0  | processed:  16
seen:  0  | processed:  98
seen:  11  | processed:  218
seen:  3  | processed:  326
seen:  3  | processed:  74
seen:  24  | processed:  150
seen:  9  | processed:  169
seen:  0  | processed:  0
seen:  38  | processed:  354
seen:  1  | processed:  66
seen:  39  | processed:  138
seen:  72  | processed:  358
seen:  34  | processed:  335
seen:  25  | processed:  170
seen:  11  | processed:  92
seen:  4  | processed:  114
seen:  1  | processed:  2
seen:  27  | processed:  164
seen:  37  | processed:  282
seen:  4  | processed:  39
seen:  3  | processed:  35
seen:  5  | processed:  115
seen:  14  | processed:  95
seen:  0  | processed:  8
seen:  17  | processed:  155
seen:  2  | processed:  27
seen:  1  | processed:  2
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  173  | processed:  405
seen:  174  | processed:  409
seen:  0  | processed:  0
seen:  3  | processed:  34
seen:  0  | processed:  0
seen:  2  | processed:  29
seen:  35  | processed:  266
seen:  49  | processed:  213
seen:  0  | processed:  0
seen:  0  | processed:  8
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  4  | processed:  40
seen:  4  | processed:  72
seen:  0  | processed:  0
seen:  0  | processed:  52
seen:  13  | processed:  72
seen:  64  | processed:  377
seen:  22  | processed:  118
seen:  0  | processed:  37
seen:  0  | processed:  0
seen:  0  | processed:  24
seen:  0  | processed:  98
seen:  7  | processed:  179
seen:  59  | processed:  161
seen:  47  | processed:  147
seen:  46  | processed:  118
seen:  44  | processed:  326
seen:  37  | processed:  264
seen:  0  | processed:  0
seen:  8  | processed:  146
seen:  22  | processed:  113
seen:  1  | processed:  47
seen:  23  | processed:  258
seen:  36  | processed:  340
seen:  10  | processed:  160
seen:  0  | processed:  0
seen:  18  | processed:  234
seen:  10  | processed:  356
seen:  31  | processed:  354
seen:  0  | processed:  0
seen:  2  | processed:  31
seen:  7  | processed:  145
seen:  0  | processed:  0
seen:  46  | processed:  347
seen:  1  | processed:  16
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  0  | processed:  13
seen:  14  | processed:  76
seen:  1  | processed:  61
seen:  0  | processed:  0
seen:  1  | processed:  44
seen:  0  | processed:  41
seen:  37  | processed:  187
seen:  1  | processed:  42
seen:  0  | processed:  6
seen:  46  | processed:  111
seen:  19  | processed:  152
seen:  6  | processed:  163
seen:  0  | processed:  30
seen:  36  | processed:  156
seen:  0  | processed:  16
seen:  24  | processed:  154
seen:  0  | processed:  2
seen:  0  | processed:  0
seen:  27  | processed:  347
seen:  8  | processed:  159
seen:  0  | processed:  5
seen:  17  | processed:  313
seen:  9  | processed:  359
seen:  35  | processed:  329
seen:  0  | processed:  18
seen:  4  | processed:  64
seen:  0  | processed:  2
seen:  0  | processed:  7
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  4  | processed:  104
seen:  0  | processed:  34
seen:  14  | processed:  127
seen:  30  | processed:  411
seen:  0  | processed:  0
seen:  2  | processed:  69
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  0  | processed:  14
seen:  9  | processed:  366
seen:  7  | processed:  178
seen:  33  | processed:  372
seen:  21  | processed:  167
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  3  | processed:  69
seen:  0  | processed:  0
seen:  0  | processed:  322
seen:  21  | processed:  106
seen:  0  | processed:  1
seen:  1  | processed:  42
seen:  9  | processed:  273
seen:  1  | processed:  57
seen:  2  | processed:  325
seen:  7  | processed:  52
seen:  51  | processed:  154
seen:  7  | processed:  110
seen:  0  | processed:  36
seen:  9  | processed:  318
