time_stamps,processed_1_not_processed_0
2002069.1805,0
2002069.1810,0
2002069.1945,0
2002069.1950,0
2002070.1850,0
2002070.2025,0
2002071.1755,0
2002071.1930,0
2002071.1935,0
2002072.1835,0
2002072.1840,0
2002073.1740,0
2002073.1745,0
2002073.1920,0
2002073.1925,0
2002074.1825,0
2002074.2005,0
2002075.1730,0
2002075.1905,0
2002075.1910,0
2002076.1810,0
2002076.1815,0
2002076.1950,0
2002076.1955,0
2002077.1855,0
2002077.1900,0
2002087.1755,0
2002087.1930,0
2002087.1935,0
2002088.1835,0
2002088.1840,0
2002088.2015,0
2002089.1740,0
2002089.1745,0
2002089.1920,0
2002089.1925,0
2002090.1825,0
2002090.1830,0
2002090.2005,0
2002091.1730,0
2002091.1905,0
2002091.1910,0
2002092.1810,0
2002092.1815,0
2002092.1950,0
2002092.1955,0
2002093.1855,0
2002093.1900,0
2002094.1800,0
2002094.1805,0
2002094.1940,0
2002095.1840,0
2002095.1845,0
2002095.2020,0
2002096.1745,0
2002096.1750,0
2002096.1925,0
2002096.1930,0
2002097.1830,0
2002097.1835,0
2002097.2010,0
2002098.1735,0
2002098.1740,0
2002098.1915,0
2002098.2050,0
2002099.1815,0
2002099.1820,0
2002099.1955,0
2002099.2000,0
2002100.1900,0
2002100.1905,0
2002101.1805,0
2002101.1810,0
2002101.1945,0
2002101.1950,0
2002102.1850,0
2002102.2025,0
2002103.1755,0
2002103.1930,0
2002103.1935,0
2002106.1825,0
2002106.1830,0
2002106.2005,0
2002107.1730,0
2002107.1905,0
2002107.1910,0
2002108.1810,0
2002108.1815,0
2002108.1950,0
2002108.1955,0
2002109.1855,0
2002109.1900,0
2002110.1800,0
2002110.1805,0
2002110.1940,0
2002111.1845,0
2002111.2020,0
2002112.1745,0
2002112.1750,0
2002112.1925,0
2002112.1930,0
2002113.1830,0
2002113.1835,0
2002113.2010,0
2002114.1735,0
2002114.1740,0
2002114.1915,0
2002114.2050,0
2002115.1820,0
2002115.1955,0
2002115.2000,0
2002116.1900,0
2002116.1905,0
2002117.1805,0
2002117.1810,0
2002117.1945,0
2002117.1950,0
2002118.1850,0
2002119.1755,0
2002119.1930,0
2002119.1935,0
2002120.1835,0
2002120.1840,0
2002120.2015,0
2002121.1740,0
2002121.1745,0
2002121.1920,0
2002121.1925,0
2002122.1825,0
2002122.1830,0
2002122.2005,0
2002123.1730,0
2002123.1905,0
2002123.1910,0
2002124.1810,0
2002124.1815,0
2002124.1950,0
2002124.1955,0
2002125.1855,0
2002125.1900,0
2002126.1800,0
2002126.1805,0
2002126.1940,0
2002127.1840,0
2002127.1845,0
2002127.2020,0
2002128.1745,0
2002128.1750,0
2002129.1830,0
2002129.1835,0
2002129.2010,0
2002130.1735,0
2002130.1740,0
2002130.1915,0
2002130.2050,0
2002131.1820,0
2002131.1955,0
2002131.2000,0
2002132.1900,0
2002132.1905,0
2002133.1805,0
2002133.1810,0
2002133.1945,0
2002133.1950,0
2002134.1850,0
2002135.1755,0
2002135.1930,0
2002135.1935,0
2002136.1835,0
2002136.1840,0
2002136.2015,0
2002137.1740,0
2002137.1745,0
2002137.1920,0
2002137.1925,0
2002138.1825,0
2002138.1830,0
2002138.2005,0
2002139.1730,0
2002139.1905,0
2002139.1910,0
2002139.2045,0
2002140.1810,0
2002140.1815,0
2002140.1950,0
2002140.1955,0
2002141.1855,0
2002141.1900,0
2002142.1800,0
2002142.1805,0
2002142.1940,0
2002143.1845,0
2002143.2020,0
2002144.1745,0
2002144.1750,0
2002144.1925,0
2002144.1930,0
2002145.1830,0
2002145.1835,0
2002145.2010,0
2002146.1735,0
2002146.1740,0
2002146.1915,0
